                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8196,                 4.2378,                 3.5985,                 1.7844,                0.52028,                0.09242,                0.05807,                0.02428,                0.50401,                0.07115,                0.04265,                0.01328,                 1.7924,                 3.9208,                 3.6128,                 1.9206,             0.00032558,             0.00032558,             0.00032558
                      2,                 1.7439,                 3.5422,                 2.8061,                 1.6953,                0.40305,                0.16779,                0.08068,                0.02647,                  0.369,                   0.11,                0.05195,                0.01695,                 2.0983,                 3.6425,                 3.0348,                 2.0988,             0.00065239,             0.00065239,             0.00065239
                      3,                 1.7393,                 3.5076,                  2.643,                 1.6923,                0.35485,                0.16511,                 0.0931,                0.03517,                 0.3309,                0.13449,                 0.0635,                0.01994,                  2.121,                 4.0043,                  4.727,                 2.2315,              0.0009726,              0.0009726,              0.0009726
                      4,                 1.7627,                 3.4841,                 2.5829,                 1.7455,                0.26195,                0.17881,                0.08186,                0.03079,                0.26665,                0.11252,                0.06307,                 0.0201,                 2.0471,                 4.1965,                 2.9949,                 2.0954,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7183,                 3.3846,                  2.437,                 1.6831,                0.36416,                0.23912,                0.15246,                0.05618,                0.32405,                0.18315,                0.11171,                0.03408,                 2.0191,                 3.6564,                  2.952,                 2.0571,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6845,                 3.2957,                 2.3458,                 1.6652,                0.45812,                 0.2572,                0.18708,                0.07449,                 0.4596,                0.22279,                0.16773,                0.05807,                 1.9438,                 3.4655,                 2.5295,                 1.9268,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6726,                 3.2315,                 2.2772,                 1.6343,                0.35946,                0.19357,                0.15474,                0.06464,                0.35346,                0.16234,                0.13075,                0.04568,                 1.9553,                 3.4293,                 2.4985,                 1.9472,              0.0009505,              0.0009505,              0.0009505
                      8,                  1.691,                  3.324,                 2.2413,                 1.6333,                0.38461,                 0.2837,                0.18644,                0.07616,                0.46853,                0.15059,                0.13263,                0.04158,                 1.9269,                 3.7636,                 2.4366,                 1.9373,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6462,                 3.2488,                  2.204,                 1.6073,                0.41142,                 0.2392,                0.17764,                0.07471,                0.44881,                0.22327,                0.16711,                0.05305,                 1.9168,                 3.8119,                 2.2225,                 1.9157,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6526,                 3.2206,                 2.1644,                 1.6096,                0.47622,                0.33636,                0.23505,                0.09194,                 0.4477,                0.28407,                0.18027,                0.06413,                 1.8422,                 3.2964,                 2.2956,                 1.8414,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6294,                 3.1866,                 2.1201,                 1.5833,                0.43373,                0.28974,                0.24918,                 0.1029,                0.39353,                0.24466,                0.19037,                0.06871,                 1.7948,                 3.2945,                 2.1987,                  1.823,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6283,                 3.1078,                  2.082,                 1.5756,                 0.4624,                0.34213,                 0.2273,                0.09924,                0.44627,                0.27328,                0.18177,                0.06831,                 1.8722,                 3.3279,                 2.1673,                 1.8766,               0.000901,               0.000901,               0.000901
                     13,                 1.5915,                 3.1286,                 2.0501,                 1.5813,                 0.4211,                0.29033,                0.23674,                0.10221,                0.38644,                 0.2545,                0.18621,                0.07009,                 1.8071,                 3.2231,                 2.1638,                 1.8368,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6135,                  3.108,                 2.0027,                 1.5586,                0.46474,                0.24811,                0.23239,                0.10755,                0.52467,                0.22254,                0.20779,                0.07745,                 1.8077,                 3.2156,                 2.0565,                 1.8287,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5386,                 3.0142,                 1.9668,                  1.542,                0.42727,                0.30984,                0.23865,                0.10412,                0.40328,                0.26695,                0.19096,                0.06895,                 1.8193,                 3.4882,                 2.0341,                 1.7835,              0.0008713,              0.0008713,              0.0008713
                     16,                  1.581,                 3.0606,                 1.9163,                 1.5538,                0.44906,                0.29442,                0.24953,                0.10615,                0.43024,                0.26554,                0.20365,                0.07503,                 1.8493,                 3.1614,                 2.1076,                 1.8476,              0.0008614,              0.0008614,              0.0008614
